CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
0.290861,0.002,0.0007,0.5355,14.4,24.6302,23.8099,23.1264,22.7502,22.4892
0.795745,-0.005,-0.0138,0.7143,4.2,26.3859,25.6394,25.0811,24.2677,24.355
0.982006,-0.0045,-0.0136,0.0,18.1,,25.5405,24.3577,22.5565,21.8846
0.655828,-0.0047,-0.0086,0.8343,2.7,26.1252,25.8501,24.9644,24.551,24.2724
0.911408,-0.0041,-0.0458,0.0,17.5,24.4939,23.3056,22.907,22.5501,22.6124
0.0821571,-0.0041,-0.0175,1.2191,5.3,24.4767,24.2408,24.1492,23.9829,23.4778
0.00014074,-0.0041,-0.012,2.4554,5.9,24.6875,24.472,24.3073,23.8201,23.5176
0.13562,-0.0044,0.0058,0.613,6.5,,25.1464,24.2712,23.7325,23.6747
0.00381207,-0.0049,-0.0116,1.6832,3.8,25.0924,24.4002,24.1313,24.1561,23.8109
0.718262,-0.0013,0.0168,0.6506,3.4,25.0524,24.6122,24.4567,24.2513,23.8512
0.797807,-0.0024,-0.0228,1.012,4.3,,25.1784,24.322,24.1189,23.6764
0.132779,0.0011,-0.0015,1.141,3.3,25.5071,24.9989,24.8664,24.5843,24.337
0.0477952,-0.0001,-0.0045,0.9891,19.8,24.1078,23.3969,22.699,22.4298,22.2342
0.0265138,-0.0048,-0.0117,2.6132,35.4,24.4612,23.3164,22.2207,21.6701,21.2763
0.000323712,-0.0031,-0.0415,2.8363,11.5,23.9831,23.7177,23.5284,23.003,22.5686
0.710123,-0.0066,0.0029,1.8408,5.6,24.4153,24.0849,24.0359,23.9204,23.7117
0.161564,-0.0028,-0.0227,0.9594,15.2,24.6879,23.6343,23.0143,22.7125,22.5611
0.0301614,-0.0047,-0.0086,2.8161,85.3,23.9845,22.8072,21.5062,20.7739,20.4373
0.0855021,0.0029,0.0032,0.8125,13.3,24.2989,23.5423,23.0697,22.9256,22.8006
0.682928,-0.0033,-0.0215,0.7692,4.6,,26.8232,25.899,24.1297,23.6273
0.975362,-0.0031,-0.0178,0.0,8.1,,26.5486,24.9772,23.4835,23.0189
0.0230752,-0.0041,-0.0136,1.3427,7.8,24.5292,24.3082,24.0182,23.6159,23.0676
